"file","Description"
"37.mp3","屏東縣萬巒國小的校歌，由萬巒鄉校長父子檔，謝才郎填詞、謝明初譜曲，從臺灣光復之後已經傳唱三代，萬巒國小學童在老師的帶領下，進到社區關懷據點演唱校歌，由於歌曲以客語語法創作，並道出學校與地方特色，也引起不少社區長輩的共鳴。"
"38.mp3","鼓王爭霸戰在當地發展有20多年之久了，3年前因為疫情停辦就沉寂下來，今年正式恢復舉辦，最重要的部分就是今天的打鼓比賽，有來自全臺灣總共25隊好手參加，早上是社會組、下午是學生組，用到的樂器有大鼓、小鼓、鑼、鈸這些傳統樂器，相當有氣勢，稍早之前精采的畫面，我們就請在現場連線的記者胡吰誌、林敬祐為大家說明。"
"39.mp3","這次的鼓王爭霸戰，主辦單位甚至開發客庄小旅行，來自北中南東各地鄉親，除了到現場觀賽，也到周遭像富源保安宮、瑞穗牧場等景點，順勢帶動瑞穗觀光資源，現場情形連線記者胡吰誌和林敬祐。"
"40.mp3","位於雲林縣西螺大橋旁，有一塊雜草叢生的河川公地，長期遭堆放垃圾，環境遭汙染。為此，雲林縣環保局以西螺七崁武術文化為意象，將河川公地打造成為森活武樹公園，提供民眾休閒娛樂場所。"
"41.mp3","新竹縣關西鎮鳳山溪水汙染事件，至今月餘，雖然新竹縣政府已對釀成汙染公司撤照，不過地方上怒火未歇，13日北上立法院陳情，直指上游處的另一間公司也有疑慮，希望縣府把上游工廠全遷走，而就在同一天的下午，新竹縣長楊文科帶隊，前往位於上游的該間公司稽查，發現現場有化學桶未照規定存放，當場下令工廠限期改善。"
"42.mp3","金曲歌王劉劭希13日在社群平台上發布聲明，說他拒唱MeToo嫌疑者的歌，決定退演世客博開幕音樂會，還提到主辦單位，禁止他演唱個人創作，對此桃園市文化局回應，考量社會觀感，確定會調整曲目，溝通過程中未同步才造成誤會。"
"43.mp3","新竹縣橫山鄉內灣形象商圈發展協會，舉辦內灣仲夏漫遊節活動，店家大展奉茶精神，而且祭出優惠，邀民眾暑假期間走訪內灣客庄。"
"44.mp3","臺灣客家文化館推廣客家文化實體典藏工作，至111年底館藏已達上萬件，近年更收藏多件海外文物，14日館方特別舉辦感謝儀式，感謝民眾無私捐出歷史文物資產，讓更多人能因此認識客家。"
"45.mp3","由新古典室內樂團打造的大型文學音樂劇場笠山之歌，發想、改編自鍾理和、鍾鐵民父子的文選，去年在高雄衛武營演出後，獲得極熱烈迴響，今年將延續先前的能量，7月15日、16日兩天，將在臺北國家戲劇院隆重登場，10月4日也會在桃園展演中心演出，讓大家再次感受臺灣客家文學之美。"
"46.mp3","客戲一夏客家戲曲暑期夏令營，14日舉辦成果發表會，9所國小的2百多位同學，在經過兩星期的課程後，活力十足展現出短短時間內，學習身段唱腔學得有模有樣，上台演出不只信心滿滿，更是架式十足。"
"47.mp3","屏東縣政府推動麟洛鄉鄭成功廟生活空間營造計畫，14日舉行開工動土儀式，這項計畫由客委會核定補助1650萬元經費，預計113年完工，未來將提供地方上優質的文化信仰中心和圖書閱覽空間。"
"48.mp3","臺東市湧泉運動公園，是全臺唯一自然湧泉游泳池，從今年4月起，就因水位剩20、30公分無法游泳，如今更僅剩下不到10公分，有民代認為是附近工程影響，而臺東市公所則準備挖井補水，讓泳池能再開放游泳。"
"49.mp3","長期用影像記錄客庄和臺灣土地的客籍攝影家葉裁，把將近一甲子時間的攝影創作加以整理，在今天13日發表了光景葉裁·攝影創作60年攝影集，透過影像努力抓住時代氛圍的變化，並傳遞對鄉土文化的情感。"
"50.mp3","苗栗縣議員接獲陳情，指出由於苗栗縣頭份市，中華路跟自強路口、路幅比較寬，行人若無法在綠燈結束前過完馬路，時間一到變燈後就容易卡在路中間，進退不得、險象環生，經過向公路局陳情後，目前已經重劃斑馬線位置，並且增設行人庇護島以改善。"
"51.mp3","屏東科技大學師資培育中心師生，每年暑假都會辦理史懷哲精神教育服務活動，今年在屏東縣佳冬國中，由10位師資生辦理當生活與自然相遇夏令營，帶領南州以及佳冬國中共60名同學，一起在自然生活中學習。"
"52.mp3","客家電視台長年在公共電視集團下，過往皆以標案方式辦理，一直存在法源未明等問題，造成經營穩定性不足，今年終於有了新的突破，5月26日公共電視法部分條文修正草案，三讀通過，修法後除了將客台明確法制化，未來能專款專用，維持族群頻道的獨立性，之後又將面對什麼新的挑戰，帶大家一起關心。"
"53.mp3","發展再生能源，可以說是當今最重要課題，內政部日前預告鬆綁非都市土地使用管制規則，將會有更多土地納入新創的綠能發展區，不過部分學界以及民間團體對此很有意見，今天上午串連發聲，呼籲內政部暫緩法規修正，充分跟社會討論後再推動。"
"54.mp3","611新竹縣關西鎮鳳山溪爆有毒廢水汙染，導致魚群暴斃、關西和新埔大停水，當時新竹縣政府隨即啟動調查，並展開清理毒物作業，縣府對此日前曾回應，將嚴懲業者並加強水質監測，不過時隔一個月了，鎮民質疑竹縣府沒有積極作為，今天13日關西鎮長和地方人士，北上立法院陳情。"
"55.mp3","全臺唯一 苗栗縣公館鄉限定，紅棗進入盛產期，公館鄉農會推出結合紅棗入菜的棗飯兜還有多樣冰品，並且規畫4場次紅棗食農小旅行，邀請鄉親在炎炎夏日，到公館體驗客庄農村文化。"
"56.mp3","配合客委會學生講客夏令營活動，臺南府城真樂軒，客家八音樂團就推出學生講客學八音夏令營，讓學員在5天的研習課程中，可以學會彈一整首樂曲，傳承客家八音也培育新血。"
"57.mp3","苗栗縣參加世界合唱比賽傳捷報，12日晚間揭曉最新消息，苗栗縣頭份市建國國小，參加在韓國江陵舉辦的第12屆World Choir Games世界合唱比賽，榮獲1金1銀。"
"58.mp3","開口獅民俗藝陣，是詔安客家人的文化三寶之一，為了傳承民俗技藝，雲林縣二崙鄉的來惠國小，利用暑假辦理開口獅學習營，讓新加入的低年級學生，有更多學習的時間。"
"59.mp3","雖然社區關懷據點已經實行多年，但並不是所有老人家都會固定到關懷據點，據統計關山鎮約有235位獨居老人，部分長者並未到關懷據點，關山鎮公所就成立志工隊，不定時家訪，除了關心長者生活狀況，也適時提供社會福利服務資訊。"
"60.mp3","近期開跑的愛爾蘭第三屆翻譯擂台競賽，繼前兩年，分別以華語詩，以及河洛詩做為題目後，今年則首度挑戰客語詩，駐愛爾蘭代表處特別邀請醫生詩人曾貴海，為這次競賽寫下新作品天光，要號召世界各地的翻譯高手，感受客家詩中的情感、音律，並翻譯成英文，即日起徵件到9月1日。"
"61.mp3","南投縣國姓鄉縣定古蹟糯米橋，是縣內唯一列為古蹟的橋梁，不過日前有民眾發現，竟然有人將汽車開到古蹟橋上，事件曝光後引起主管機關重視，今天12日縣府文化局邀請學者和國姓鄉公所，一起商討管理方式，希望能夠杜絕類似情況再發生。"
"62.mp3","諾貝爾文學獎得主梅特林克的寓言故事青鳥，現在被搬上舞台，臺北兒童藝術節特別邀請沙丁龐客劇團改編演出青鳥·尋找真實的幸福，7月22日到23日，將在臺北表演藝術中心盛大演出，舞台劇透過古典音樂、光影、偶戲，呈現作者筆下美妙而魔幻的世界，同時透過主角的旅程，探索人生與幸福的意義。"
"63.mp3","為鼓勵青年返鄉創業，苗栗縣政府舉辦創新店家選拔活動，希望藉由活動輔導青年創業，給予展現自我的舞台，挖掘更多潛力青年店家，並推廣在地特色店家，帶動苗栗青創產業。"
"64.mp3","苗栗縣政府舉辦豐水梨評鑑，今年有來自8鄉鎮，共85點水梨參賽，評審對這些豐水梨的品質，大表肯定，無論是風味口感甜度，都表現極佳，苗栗縣政府也呼籲消費者，受到梨穗供應問題，豐水梨產量減少，民眾要購買動作要快。"
"65.mp3","屏東縣高樹鄉農會，今天12日舉辦臺灣稻米達人鄉鎮賽，由5位評審分別從外觀與食味兩方面進行評比，結果由農友邱瑞雄、鍾永亮、張寶隆獲得前三名，高樹鄉農會表示，希望藉由每年評鑑的方式，提升高樹米的品質與知名度。"
"66.mp3","彰化縣永靖鄉，有百年歷史的客家伙房忠實第，是清朝末年永靖文人邱萃英講學的府第，丘逢甲也曾在這裡上學，非常具有保存價值的建物，2020年動工整修，目前已經完工，而邱家人計畫出版忠實第的繪本，藉此讓更多民眾能了解，永靖鄉及忠實第的歷史故事。"
"67.mp3","桃園市有15處公告登錄歷史建築的日式宿舍，桃園市文化局舉辦特展，以日式宿舍歷史建築研究成果為基礎，以生動的展示與走訪問答等活動，帶領民眾從不同角度，認識充滿魅力的在地文化資產。"
"68.mp3","屏東縣政府屏東大博物館計畫，再向前跨進一步，位於屏菸1936文化基地的屏東縣典藏中心，以及恆春文化中心的民謠館，硬體工程將陸續在今年10月間完工，特別是民謠館內，更設置全國首座聲音博物館，最快今年底前啟用。"
"69.mp3","承載傳承語言與文化使命的，客家電視如今邁入第20年，從一開始篳路藍縷的開台，到累積經驗、成長茁壯，已發展成十分純熟的族群傳播頻道，創新的節目、經典的戲劇，創造許多膾炙人口的作品，也培養出不少專業的傳播人才，現在我們來看看學者、業界、主管機關，怎麼看客家電視，這20年的成長與改變。"
"70.mp3","107學年度開始實行的，客語結合12年國教校訂課程計畫，5年時間，讓全臺各所國中小教師，比拚客庄特色、客語教案的創意，12日上午舉行成果發表會，同時表揚全國將近50所學校，鼓勵校園營造更有感的講客環境。"
"71.mp3","新竹鳳山溪遭排放不明廢液，汙染關西居民飲用水，事發滿一個月，初步檢測出水中有苯乙烯，最高濃度達0061ppm，雖然低於美國飲用水標準，但居民還是很不安心。對此，環保署表示，為了解決臭味問題，將補助地方政府清除河川底泥，居民則希望縣府，盡快將汙染工廠遷離鳳山溪上游。"
"72.mp3","每2年舉辦的世界特殊奧運是智能障礙者的國際體育活動，而2023的德國柏林世界特奧會來自臺東關山的田徑選手張欣怡，拿下3金1銀的佳績。關山鎮公所就特別為張欣怡首度舉辦遊街慶祝活動，要跟鄉親們分享這個喜悅與光榮。"
"73.mp3","暑假期間，桃園市客家局和中壢區公所，舉辦為期5天的客庄走讀營，整合客語跨領域資源，帶著學生從戶外教學中，一步一腳印了解客家族群和環境共生共好的觀念，進一步引領每一個人，開始關心所處的生活環境。"
"74.mp3","夏天是濱海旅遊的旺季，苗栗縣後龍鎮的好望角，每逢夕陽時人滿為患，不過從西濱臺61線，銜接好望角的苗32線、33線，因為路幅不斷縮小，影響車輛會車，地方積極爭取拓寬，今天11日公路總局現場會勘，後龍鎮公所提出的拓寬方案，公路總局原則上同意通過。"
"75.mp3","今天客台20年系列報導來看，客家電視從2009年開始推動後生提攜計畫，暑假期間，以客家語言、客家文化及傳播實務訓練進行基礎，培訓客家傳播人才，今年邁入第15年，15年來，累積培訓超過兩百多位後生，其中不乏在客家界、新聞領域，發光發熱的優秀傳播工作者。"
"76.mp3","哈旗鼓文化藝術團最近受邀遠赴法國演出，7月8日到16日，在法國阿朗松藝術節和布列塔尼小鎮，進行多場次的巡迴表演，他們以臺灣客家為主題，將音樂、舞蹈、武術等技藝結合，展現臺灣豐富的藝術文化，精彩的演出獲得現場滿堂彩。"
"77.mp3","臺灣流聲機-聽屏東在唱歌流行音樂展，即日起在屏東文學館開展，展示內容規畫以華語、河洛語、客語和原住民語，介紹流行音樂發展，帶領民眾就像搭乘時光機，重溫流行音樂舊時光。"
"78.mp3","新竹縣竹東鎮的掩埋場在8年前重新啟用，做為垃圾轉運的臨時堆置場，到現在已累積將近1萬公噸垃圾，為了處理垃圾清運作業，經環保局協調，目前新竹市以及苗栗縣的兩廠焚化爐，每月增加1千公噸，協助竹東鎮公所垃圾量，希望能盡快處理完畢。"
"79.mp3","倒數一個月就要開展的2023世界客家博覽會，進入最後衝刺行銷階段，主辦單位預估，為期66天的世客博，預計將吸引超過百萬人次到訪，和全臺超過600間旅遊業者合作，推出超過50條旅遊路線，搶攻暑假國旅商機。"
"80.mp3","今年初的乾旱氣候，讓荔枝開花授粉相當順利，各地都出現盛產情況，近期糯米荔枝上市，產地價格卻因為盛產而低迷，南投縣中寮鄉龍眼林農產行，積極啟動收購動作，將糯米荔枝烘焙成果乾，除了協助農民穩定收益，也期望能透過農產加工，來支持老人送餐的工作。"
"81.mp3","苗栗縣山線有臺三線藝術季，海線地區也有南海地景藝術節，苗栗縣政府邀請國內外藝術創作家，在通霄、苑裡沿海展出30件地景藝術，以海為主題，融入環保、自然等創作元素，帶動苗栗海線觀光。"
"82.mp3","全國最大的金煌芒果產區，在高雄六龜，為了拓展市場通路，六龜農會除了在國內舉辦行銷活動，現在也爭取外銷訂單到新加坡、加拿大，希望透過多元的銷售管道，讓農民有機會賺錢。"
"83.mp3","因為疫情停辦3年的花蓮瑞穗拔仔庄鼓王爭霸戰，這個週末15日將在富源國小登場，全臺共有7個縣市、25組鼓隊，要角逐鼓王，同時花蓮縣府希望延伸鼓賽效益，規畫縱谷客韻季，將在花蓮北中南區推動鼓藝展演，發展客庄觀光。"
"84.mp3","全國最大的野蓮產區在高雄美濃，為了讓更多人了解這項特色產業，2023學生講客暑期夏令營，邀請參加活動的國中、小學生，跟著農民下田種野蓮，新鮮有趣的體驗讓每個人印象深刻，也感受務農的不容易。"
"85.mp3","2023臺北國際夏季旅展，即將在14日登場，知名飯店、地方美食等，上百個單位齊力推出強檔優惠，其中桃園市觀光旅遊局，迎接8月11日就要開幕的2023世界客家博覽會，也結合國內旅行社業者，設計超過50條世客博主題遊程。"
"86.mp3","客家先賢黃南球是苗栗縣獅潭鄉拓墾第一人，不過後世所立的生平事蹟紀念碑文，內容多以蕃字稱呼原住民，近年來客委會推動原客共好運動，為落實族群和諧，與黃家後人達成共識，去年推動碑文改寫計畫，10日在苗栗縣獅潭鄉義民廟後方河濱公園重新揭幕。"
"87.mp3","今天客台20年系列報導來看，自從2003年7月1日，客家電視台正式開播，這20年來，客家新聞持續發揮客家觀點，不斷挑戰創新、提升公共價值，延續並傳承語言文化，像是結合手語、前進客庄轉播，促進媒體近用讓民眾發聲，在頻道中做出差異化，以凸顯族群頻道的角色，接下來邀請您一同見證，客家新聞一路來的轉變。"
"88.mp3","從中國江西嫁來臺灣屏東的楊進霞，為了一解家鄉料理之愁，希望再現江西風味小吃，江西拌粉的好滋味，經過多次嘗試後，終於發現客家米篩目、粄條，很適合做拌粉，而在醬料的製作上，則改用蠔油和醬油替代。"
"89.mp3","八大社著年植福祭是雲林縣詔安客家族群，在春節期間重要的廟會活動，明年將屆滿150週年，為此地方鄉親就成立八大社文化推廣協會，以發揚地方民俗慶典文化。"
"90.mp3","為了讓弱勢家庭孩子，在暑假期間也能學習才藝，屏東海青青弘會開辦公益的暑期多元課輔班，由青年志工發揮所長，免費教孩子學第二語言，跳舞唱歌玩遊戲，並指導暑假作業，在社會捐贈的情況下，暑期課輔班，也會提供孩子免費的午餐，也保障孩子們的安全。"
"91.mp3","2023南投客家文化節系列活動，今年度擴大辦理，昨天9日下午在中興新村大操場，舉辦靚靚草地音樂會，邀請客家知名樂團和歌手，來和鄉親同樂，同時也有野餐派對和布置比賽，國姓鄉長邱美玲也藉著頒獎的機會，大力宣傳國姓鄉的咖啡節活動。"
"92.mp3","前幾個月，臺東關山鎮有8棵30多年以上的，臺灣欒樹及小葉欖仁樹，遭人惡意鑽孔毒樹，經調查確認是當地里長所為，日前里長與鎮公所達成和解，里長須賠付42萬餘元。"
"93.mp3","為期兩天的客家合唱比賽，9日在苗北藝文中心進行總決賽，客委會表示舉辦合唱比賽，最重要的目的，是鼓勵大家唱客語、大家說客語，透過團隊的練習，讓不同母語的朋友接觸客語。"
"94.mp3","剛獲得第34屆金曲獎，最佳客語專輯獎的山狗大後生樂團，舉辦金曲巡迴演唱會，第一站就到桃園楊梅富岡國小，分享得獎的喜悅之外，也要推廣客家好音樂。"
"95.mp3","台上三分鐘，台下十年功，不過對特教學校的孩子們來說，可能需要花上更大的心力，苗栗特教學校今年4月代表臺灣，參加2023世界啦啦隊錦標賽，在特殊奧林匹克傳統組中勇奪銀牌，而背後一群充滿理想的熱血教師團，功不可沒，他們無私奉獻的精神，也獲得112年杏壇芬芳獎的肯定。"
"96.mp3","雲林縣崙背鄉的崙前村，人口數是全鄉前3名的村莊，但因沒有活動中心，所以長期向寺廟借場地辦活動，為此居民就募款買地捐給鄉公所，如今終於發包動工，未來除了做社區活動中心之外，也要辦理長青食堂及關懷據點。"
"97.mp3","為了讓年輕一代朋友，深入認識客家文化，8日下午新竹縣竹北市東海地區，有一場座談會，主講人以說故事的方式，讓年輕人感受客家的歷史，也藉此讓民眾回憶童年時光。"
"98.mp3","夏天到海邊走走，還有美味隱藏在巷子裡，苗栗縣後龍鎮的外埔里，因為人口外流平日顯得安靜，不過這裡卻隱藏當地人，才知道的美味早餐，老闆結合蔥油餅、肉燥、蛋，利用半煎半炸的方式，每天現做蔥肉餅，不僅是外埔當地人的美味早餐，也吸引不少外地人來品嚐。"
"99.mp3","第34屆全國客家文化夏令營，經過為期3天2夜的營隊生活8日結訓，不論是透過學者專家專題講座的文化學習營，還是體驗客庄文化的親子營，學員們收穫滿滿，營隊希望學員回去後，能成為地方客家語言、文化的種籽，共同為傳承臺灣客家文化努力。"
"100.mp3","近年3、4月，高雄市美濃區的南隆、吉洋地區，都面臨了缺水的問題，為了解決無水可用困境，水利署在高屏溪中上游進行河槽地下水補注工程，立委邱議瑩邀請水利署在美濃區辦說明會，這個河槽地下水的補注工程，1年預計可補注600萬到780萬噸的地下水。"
"101.mp3","客委會辦理原客青少年3對3籃球賽，今天8日在南投縣竹山鎮竹山高中體育館進行比賽，原本預定在110年舉辦的比賽，因為疫情而延後2年，不過參賽隊伍卻從原本的80隊，增加到101隊，每一位選手都盡情享受比賽，同時也要為學校爭取榮譽。"
"102.mp3","現在小孩到學校除了學習知識之外，也要學習很多的才藝，為了讓學生有個表演的舞台，雲林縣二崙鄉公所特別舉辦藝文展演活動，讓鄉內9所學校的學生，表演才藝展現學習成果。"
"103.mp3","曾在苗栗縣南庄鄉農會服務，並主導南庄山水路跑活動的，農會青年曾為科，離開農會的工作後，以創生概念，結合南庄的家鄉口味，研發結合南庄在地口味的曲奇餅乾，包括南庄桔醬、鹿場紅玉紅茶，都成為他手工餅乾的調味原料，更希望臺灣各地都能吃到，具有南庄風味的獨特餅乾。"
"104.mp3","第9屆屏東縣農業大學開始授課，今年包含農業基礎班、動物科學班，水產養殖科學班等等，總共招收195位學員，屏東縣政府希望學員能將課堂所學，以及自己的經驗相互印證，共同提升屏東農業競爭力。"
"105.mp3","新竹縣警察局關西分駐所，已經有103年歷史，在民國98年時，被縣政府文化局登錄為縣定古蹟，為了盡快完成第3期修復工程，行政院副院長鄭文燦，今天7日到鎮公所聽取簡報，對於經費補助的部分，需要再與文資局協商。"
